,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,MAN_COLLNAME,HIT_RUN,TOW_VEH,GVWRNAME,V_CONFIGNAME,CARGO_BTNAME,HAZ_INV,ROLLOVERNAME,DEFORMEDNAME,VTRAFWAYNAME,VNUM_LANNAME,VSPD_LIMNAME,VALIGNNAME,VPROFILENAME,VSURCONDNAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,LGT_CONDNAME,WEATHERNAME,FATALS,DRUNK_DR,INJ_SEV,INJ_SEVNAME
72410,Texas,483244,1,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,65 MPH,Straight,Hillcrest,Dry,Other,Urban,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
72414,Texas,483246,1,5,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",One lane,75 MPH,Straight,Hillcrest,Dry,Interstate,Rural,Interstate,Daylight,Clear,2,0,0,No Apparent Injury (O)
72432,Texas,483251,3,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Four lanes,70 MPH,Curve Left,"Grade, Unknown Slope",Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,1,0,No Apparent Injury (O)
72444,Texas,483257,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,Other,Rural,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
72467,Texas,483265,1,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,65 MPH,Curve Left,"Grade, Unknown Slope",Dry,U.S. Highway,Rural,Minor Arterial,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
72554,Texas,483303,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Hillcrest,Dry,Other,Rural,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
72642,Texas,483332,3,3,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,75 MPH,Curve Left,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
72688,Texas,483346,1,2,4,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,30 MPH,Straight,Level,Wet,Local Street - Municipality,Urban,Major Collector,Dark - Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
72689,Texas,483346,1,2,4,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,30 MPH,Straight,Level,Wet,Local Street - Municipality,Urban,Major Collector,Dark - Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
72690,Texas,483346,1,2,4,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,30 MPH,Straight,Level,Wet,Local Street - Municipality,Urban,Major Collector,Dark - Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
72691,Texas,483346,1,2,4,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,30 MPH,Straight,Level,Wet,Local Street - Municipality,Urban,Major Collector,Dark - Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
72702,Texas,483350,3,3,4,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,No Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,"Grade, Unknown Slope",Wet,Other,Urban,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72703,Texas,483350,3,3,4,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,No Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,"Grade, Unknown Slope",Wet,Other,Urban,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72704,Texas,483350,3,3,4,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,No Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,"Grade, Unknown Slope",Wet,Other,Urban,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72705,Texas,483350,3,3,4,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),No Cargo Body Type,1,No Rollover,No Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,"Grade, Unknown Slope",Wet,Other,Urban,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72734,Texas,483363,1,2,1,Other,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,75 MPH,Straight,Level,Dry,State Highway,Rural,Major Collector,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72777,Texas,483388,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,75 MPH,Curve Left,Level,Water (Standing or Moving),State Highway,Rural,Minor Arterial,Daylight,Rain,4,0,1,Possible Injury (C)
72778,Texas,483388,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,75 MPH,Curve Left,Level,Water (Standing or Moving),State Highway,Rural,Minor Arterial,Daylight,Rain,4,0,0,No Apparent Injury (O)
72788,Texas,483392,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,"Grade, Unknown Slope",Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Cloudy,1,0,4,Fatal Injury (K)
72823,Texas,483407,1,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,75 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,"Fog, Smog, Smoke",1,0,2,Suspected Minor Injury (B)
72829,Texas,483408,2,2,2,Angle,0,5,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Vehicle Towing Another Motor Vehicle,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,75 MPH,Curve Right,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
72830,Texas,483408,2,2,2,Angle,0,5,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Vehicle Towing Another Motor Vehicle,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,75 MPH,Curve Right,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
72835,Texas,483411,1,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,75 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
72836,Texas,483411,1,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,75 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
72845,Texas,483415,1,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,75 MPH,Curve Left,"Grade, Unknown Slope",Wet,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
72897,Texas,483441,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Lighted,Clear,2,0,1,Possible Injury (C)
72942,Texas,483468,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,2,"26,001 lbs. or more",Truck Tractor/Double,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,55 MPH,Straight,Level,Wet,U.S. Highway,Urban,Interstate,Dark - Not Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
72987,Texas,483487,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Wet,Interstate,Urban,Interstate,Dark - Not Lighted,"Fog, Smog, Smoke",1,0,0,No Apparent Injury (O)
73009,Texas,483500,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,75 MPH,Straight,Level,Wet,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Rain,1,0,1,Possible Injury (C)
73015,Texas,483503,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,60 MPH,Straight,Hillcrest,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Lighted,Clear,1,0,4,Fatal Injury (K)
73016,Texas,483503,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,60 MPH,Straight,Hillcrest,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Lighted,Clear,1,0,3,Suspected Serious Injury (A)
73017,Texas,483503,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,60 MPH,Straight,Hillcrest,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Lighted,Clear,1,0,2,Suspected Minor Injury (B)
73070,Texas,483527,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Curve Right,"Grade, Unknown Slope",Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
73071,Texas,483527,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Curve Right,"Grade, Unknown Slope",Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
73079,Utah,490005,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Grain/ Chips/ Gravel,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,65 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,4,Fatal Injury (K)
73099,Utah,490016,2,3,2,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,65 MPH,Curve Left,"Grade, Unknown Slope",Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
73100,Utah,490016,2,3,2,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,65 MPH,Curve Left,"Grade, Unknown Slope",Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
73101,Utah,490016,3,3,1,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,65 MPH,Curve Right,"Grade, Unknown Slope",Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
73147,Utah,490034,2,2,1,Sideswipe - Opposite Direction,0,2,"26,001 lbs. or more",Truck Tractor/Double,Grain/ Chips/ Gravel,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,65 MPH,Straight,Level,Wet,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Rain,1,1,1,Possible Injury (C)
73180,Utah,490053,1,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Grain/ Chips/ Gravel,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,75 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Cloudy,1,0,2,Suspected Minor Injury (B)
73189,Utah,490055,1,2,1,Front-to-Rear,0,2,"26,001 lbs. or more",Truck Tractor/Double,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,80 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
73255,Utah,490082,2,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Three lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
73256,Utah,490082,2,2,2,Front-to-Front,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Three lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Clear,1,0,1,Possible Injury (C)
73259,Utah,490084,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,State Highway,Rural,Major Collector,Daylight,Clear,1,0,4,Fatal Injury (K)
73367,Utah,490124,1,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,80 MPH,Curve Right,"Grade, Unknown Slope",Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
73388,Utah,490131,4,4,1,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Curve Left,"Grade, Unknown Slope",Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
73467,Utah,490162,3,3,1,Rear-to-Side,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Seven or more lanes,70 MPH,Straight,"Grade, Unknown Slope",Dry,Interstate,Urban,Interstate,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
73496,Utah,490174,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,80 MPH,Straight,"Grade, Unknown Slope",Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,2,1,0,No Apparent Injury (O)
73559,Utah,490200,2,2,2,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,1,1,0,No Apparent Injury (O)
73560,Utah,490200,2,2,2,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,1,1,0,No Apparent Injury (O)
73596,Utah,490218,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,60 MPH,Straight,Level,Wet,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Rain,1,0,2,Suspected Minor Injury (B)
73598,Utah,490219,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,1,Possible Injury (C)
73615,Utah,490227,1,2,2,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,80 MPH,Curve - Unknown Direction,"Grade, Unknown Slope",Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,2,0,4,Fatal Injury (K)
73616,Utah,490227,1,2,2,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,80 MPH,Curve - Unknown Direction,"Grade, Unknown Slope",Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,2,0,4,Fatal Injury (K)
73617,Utah,490227,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,2,"26,001 lbs. or more",Truck Tractor/Double,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,80 MPH,Curve - Unknown Direction,"Grade, Unknown Slope",Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,2,0,2,Suspected Minor Injury (B)
73716,Utah,490261,1,5,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,65 MPH,Curve Left,"Grade, Unknown Slope",Ice/Frost,Interstate,Rural,Interstate,Daylight,Cloudy,1,0,1,Possible Injury (C)
73726,Utah,490261,5,5,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,65 MPH,Curve Left,"Grade, Unknown Slope",Ice/Frost,Interstate,Rural,Interstate,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
73757,Vermont,500008,2,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Curve Right,Uphill,Wet,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
73772,Vermont,500017,1,3,1,Front-to-Rear,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Wet,State Highway,Rural,Minor Arterial,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
73833,Vermont,500046,1,2,1,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Curve Right,Level,Wet,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,1,0,No Apparent Injury (O)
73837,Vermont,500048,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,55 MPH,Straight,Level,Wet,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Snow,1,1,0,No Apparent Injury (O)
73843,Vermont,500051,2,3,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Curve Left,Level,Ice/Frost,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Freezing Rain or Drizzle,1,0,0,No Apparent Injury (O)
73868,Virginia,510006,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,65 MPH,Straight,Level,Wet,Interstate,Urban,Interstate,Daylight,Rain,1,0,0,No Apparent Injury (O)
73959,Virginia,510058,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Two lanes,55 MPH,Straight,"Grade, Unknown Slope",Snow,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Snow,1,0,0,No Apparent Injury (O)
74000,Virginia,510085,1,7,1,Sideswipe - Opposite Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median",Four lanes,35 MPH,Curve Right,"Grade, Unknown Slope",Wet,State Highway,Urban,Principal Arterial - Other,Daylight,Rain,1,0,4,Fatal Injury (K)
74448,Virginia,510308,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Four lanes,55 MPH,Straight,Level,Wet,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Rain,1,0,4,Fatal Injury (K)
74647,Virginia,510410,1,8,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,"Grade, Unknown Slope",Wet,Interstate,Rural,Interstate,Daylight,Rain,1,0,0,No Apparent Injury (O)
74657,Virginia,510410,5,8,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,"Grade, Unknown Slope",Wet,Interstate,Rural,Interstate,Daylight,Rain,1,0,3,Suspected Serious Injury (A)
74658,Virginia,510410,6,8,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,"Grade, Unknown Slope",Wet,Interstate,Rural,Interstate,Daylight,Rain,1,0,0,No Apparent Injury (O)
74899,Virginia,510530,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,60 MPH,Straight,Level,Wet,Interstate,Urban,Interstate,Dark - Lighted,Rain,1,1,0,No Apparent Injury (O)
75133,Virginia,510642,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Wet,Interstate,Rural,Interstate,Dark - Not Lighted,Rain,1,0,0,No Apparent Injury (O)
75489,Washington,530091,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,1,Possible Injury (C)
75660,Washington,530178,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,60 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
